run,bearing,role,indicator,monotonicity,trendability,robustness
dev_run_0,Bearing1_1,development,hds_10feature,0.0171,0.8691,0.7853
dev_run_0,Bearing1_1,development,rms_only,0.0157,0.7922,0.8756
dev_run_0,Bearing1_1,development,single::rms_ch0,0.0157,0.7922,0.8756
dev_run_0,Bearing1_1,development,single::peak_ch0,0.0018,0.8125,0.7515
dev_run_0,Bearing1_1,development,single::crest_factor_ch0,0.0164,0.6407,0.6407
dev_run_0,Bearing1_1,development,single::kurtosis_ch0,0.0079,0.8164,0.6406
dev_run_0,Bearing1_1,development,single::dominant_freq_ch0,0.0064,0.407,0.8271
dev_run_0,Bearing1_1,development,single::rms_ch1,0.0043,0.307,0.8113
dev_run_0,Bearing1_1,development,single::peak_ch1,0.0121,0.4586,0.662
dev_run_0,Bearing1_1,development,single::crest_factor_ch1,0.0128,0.3481,0.5847
dev_run_0,Bearing1_1,development,single::kurtosis_ch1,0.0064,0.4753,0.5703
dev_run_0,Bearing1_1,development,single::dominant_freq_ch1,0.0039,0.2098,0.7881
dev_run_0,Bearing1_1,development,mahalanobis,0.0029,0.8685,0.7351
dev_run_1,Bearing1_2,development,hds_10feature,0.0115,0.6012,0.7547
dev_run_1,Bearing1_2,development,rms_only,0.0046,0.2234,0.7457
dev_run_1,Bearing1_2,development,single::rms_ch0,0.0046,0.2234,0.7457
dev_run_1,Bearing1_2,development,single::peak_ch0,0.0184,0.0453,0.6651
dev_run_1,Bearing1_2,development,single::crest_factor_ch0,0.0276,0.3756,0.6326
dev_run_1,Bearing1_2,development,single::kurtosis_ch0,0.0184,0.4267,0.6344
dev_run_1,Bearing1_2,development,single::dominant_freq_ch0,0.0598,0.6802,0.6445
dev_run_1,Bearing1_2,development,single::rms_ch1,0.023,0.5364,0.7663
dev_run_1,Bearing1_2,development,single::peak_ch1,0.0115,0.0452,0.7084
dev_run_1,Bearing1_2,development,single::crest_factor_ch1,0.0092,0.1498,0.7061
dev_run_1,Bearing1_2,development,single::kurtosis_ch1,0.0299,0.1198,0.6906
dev_run_1,Bearing1_2,development,single::dominant_freq_ch1,0.0322,0.0706,0.5864
dev_run_1,Bearing1_2,development,mahalanobis,0.0092,0.7493,0.725
val_run_0,Bearing1_3,evaluation,hds_10feature,0.0059,0.857,0.7704
val_run_0,Bearing1_3,evaluation,rms_only,0.0059,0.8437,0.764
val_run_0,Bearing1_3,evaluation,single::rms_ch0,0.0059,0.8437,0.764
val_run_0,Bearing1_3,evaluation,single::peak_ch0,0.0131,0.746,0.6877
val_run_0,Bearing1_3,evaluation,single::crest_factor_ch0,0.0202,0.3728,0.6344
val_run_0,Bearing1_3,evaluation,single::kurtosis_ch0,0.0118,0.5694,0.617
val_run_0,Bearing1_3,evaluation,single::dominant_freq_ch0,0.0168,0.4553,0.8459
val_run_0,Bearing1_3,evaluation,single::rms_ch1,0.0211,0.8071,0.7037
val_run_0,Bearing1_3,evaluation,single::peak_ch1,0.0051,0.6301,0.655
val_run_0,Bearing1_3,evaluation,single::crest_factor_ch1,0.0194,0.4377,0.6208
val_run_0,Bearing1_3,evaluation,single::kurtosis_ch1,0.0152,0.5073,0.5955
val_run_0,Bearing1_3,evaluation,single::dominant_freq_ch1,0.0139,0.2177,0.7583
val_run_0,Bearing1_3,evaluation,mahalanobis,0.0135,0.9012,0.7122
test_run_0,Bearing1_4,evaluation,hds_10feature,0.0231,0.8917,0.8695
test_run_0,Bearing1_4,evaluation,rms_only,0.0273,0.8988,0.8252
test_run_0,Bearing1_4,evaluation,single::rms_ch0,0.0273,0.8988,0.8252
test_run_0,Bearing1_4,evaluation,single::peak_ch0,0.0021,0.7048,0.7309
test_run_0,Bearing1_4,evaluation,single::crest_factor_ch0,0.0035,0.4346,0.6401
test_run_0,Bearing1_4,evaluation,single::kurtosis_ch0,0.0007,0.5661,0.6671
test_run_0,Bearing1_4,evaluation,single::dominant_freq_ch0,0.0126,0.0674,0.7137
test_run_0,Bearing1_4,evaluation,single::rms_ch1,0.0498,0.9358,0.8551
test_run_0,Bearing1_4,evaluation,single::peak_ch1,0.0154,0.819,0.7748
test_run_0,Bearing1_4,evaluation,single::crest_factor_ch1,0.0021,0.2603,0.6593
test_run_0,Bearing1_4,evaluation,single::kurtosis_ch1,0.0105,0.4612,0.6612
test_run_0,Bearing1_4,evaluation,single::dominant_freq_ch1,0.0077,0.2939,0.6023
test_run_0,Bearing1_4,evaluation,mahalanobis,0.0105,0.8828,0.8122
test_run_1,Bearing1_5,evaluation,hds_10feature,0.0073,0.832,0.8946
test_run_1,Bearing1_5,evaluation,rms_only,0.0016,0.8032,0.8937
test_run_1,Bearing1_5,evaluation,single::rms_ch0,0.0016,0.8032,0.8937
test_run_1,Bearing1_5,evaluation,single::peak_ch0,0.0057,0.5338,0.7539
test_run_1,Bearing1_5,evaluation,single::crest_factor_ch0,0.0041,0.1743,0.6204
test_run_1,Bearing1_5,evaluation,single::kurtosis_ch0,0.0122,0.1459,0.6135
test_run_1,Bearing1_5,evaluation,single::dominant_freq_ch0,0.0037,0.1939,0.892
test_run_1,Bearing1_5,evaluation,single::rms_ch1,0.0211,0.8087,0.8707
test_run_1,Bearing1_5,evaluation,single::peak_ch1,0.0073,0.5076,0.734
test_run_1,Bearing1_5,evaluation,single::crest_factor_ch1,0.0008,0.1235,0.6442
test_run_1,Bearing1_5,evaluation,single::kurtosis_ch1,0.0024,0.0077,0.7546
test_run_1,Bearing1_5,evaluation,single::dominant_freq_ch1,0.0158,0.3292,0.8427
test_run_1,Bearing1_5,evaluation,mahalanobis,0.0089,0.7761,0.7994
test_run_2,Bearing1_6,evaluation,hds_10feature,0.011,0.7009,0.813
test_run_2,Bearing1_6,evaluation,rms_only,0.0012,0.6127,0.8069
test_run_2,Bearing1_6,evaluation,single::rms_ch0,0.0012,0.6127,0.8069
test_run_2,Bearing1_6,evaluation,single::peak_ch0,0.0123,0.2132,0.6603
test_run_2,Bearing1_6,evaluation,single::crest_factor_ch0,0.0012,0.0907,0.6125
test_run_2,Bearing1_6,evaluation,single::kurtosis_ch0,0.0274,0.1979,0.5776
test_run_2,Bearing1_6,evaluation,single::dominant_freq_ch0,0.0098,0.0962,0.6451
test_run_2,Bearing1_6,evaluation,single::rms_ch1,0.0217,0.683,0.8984
test_run_2,Bearing1_6,evaluation,single::peak_ch1,0.0004,0.4439,0.6901
test_run_2,Bearing1_6,evaluation,single::crest_factor_ch1,0.0061,0.1802,0.5817
test_run_2,Bearing1_6,evaluation,single::kurtosis_ch1,0.0078,0.3114,0.5637
test_run_2,Bearing1_6,evaluation,single::dominant_freq_ch1,0.0069,0.4384,0.8288
test_run_2,Bearing1_6,evaluation,mahalanobis,0.0004,0.6695,0.7447
test_run_3,Bearing1_7,evaluation,hds_10feature,0.0115,0.8603,0.8712
test_run_3,Bearing1_7,evaluation,rms_only,0.0071,0.3716,0.8102
test_run_3,Bearing1_7,evaluation,single::rms_ch0,0.0071,0.3716,0.8102
test_run_3,Bearing1_7,evaluation,single::peak_ch0,0.0124,0.0279,0.6758
