window_index,deviation_score,smoothed_score,status,consecutive_exceedances,recommended_action,run,rul_label
0,0.8168,0.8168,NORMAL,0,Continue operation and monitoring,dev_run_0,2803.0
1,0.7823,0.8099,NORMAL,0,Continue operation and monitoring,dev_run_0,2802.0
2,0.746,0.7971,NORMAL,0,Continue operation and monitoring,dev_run_0,2801.0
3,0.6961,0.7769,NORMAL,0,Continue operation and monitoring,dev_run_0,2800.0
4,1.2217,0.8659,NORMAL,0,Continue operation and monitoring,dev_run_0,2799.0
5,1.0668,0.9061,NORMAL,0,Continue operation and monitoring,dev_run_0,2798.0
6,0.6958,0.864,NORMAL,0,Continue operation and monitoring,dev_run_0,2797.0
7,1.0469,0.9006,NORMAL,0,Continue operation and monitoring,dev_run_0,2796.0
8,0.7873,0.8779,NORMAL,0,Continue operation and monitoring,dev_run_0,2795.0
9,0.735,0.8493,NORMAL,0,Continue operation and monitoring,dev_run_0,2794.0
10,1.4972,0.9789,NORMAL,0,Continue operation and monitoring,dev_run_0,2793.0
11,0.9633,0.9758,NORMAL,0,Continue operation and monitoring,dev_run_0,2792.0
12,0.8371,0.948,NORMAL,0,Continue operation and monitoring,dev_run_0,2791.0
13,0.9327,0.945,NORMAL,0,Continue operation and monitoring,dev_run_0,2790.0
14,1.0002,0.956,NORMAL,0,Continue operation and monitoring,dev_run_0,2789.0
15,0.9104,0.9469,NORMAL,0,Continue operation and monitoring,dev_run_0,2788.0
16,0.9028,0.9381,NORMAL,0,Continue operation and monitoring,dev_run_0,2787.0
17,0.9152,0.9335,NORMAL,0,Continue operation and monitoring,dev_run_0,2786.0
18,0.7828,0.9034,NORMAL,0,Continue operation and monitoring,dev_run_0,2785.0
19,0.8132,0.8853,NORMAL,0,Continue operation and monitoring,dev_run_0,2784.0
20,0.7708,0.8624,NORMAL,0,Continue operation and monitoring,dev_run_0,2783.0
21,1.1426,0.9185,NORMAL,0,Continue operation and monitoring,dev_run_0,2782.0
22,0.9527,0.9253,NORMAL,0,Continue operation and monitoring,dev_run_0,2781.0
23,0.8254,0.9053,NORMAL,0,Continue operation and monitoring,dev_run_0,2780.0
24,1.3352,0.9913,NORMAL,0,Continue operation and monitoring,dev_run_0,2779.0
25,0.8546,0.964,NORMAL,0,Continue operation and monitoring,dev_run_0,2778.0
26,1.132,0.9976,NORMAL,0,Continue operation and monitoring,dev_run_0,2777.0
27,1.2612,1.0503,NORMAL,0,Continue operation and monitoring,dev_run_0,2776.0
28,1.4506,1.1304,NORMAL,0,Continue operation and monitoring,dev_run_0,2775.0
29,1.8113,1.2666,NORMAL,0,Continue operation and monitoring,dev_run_0,2774.0
30,1.3505,1.2834,NORMAL,0,Continue operation and monitoring,dev_run_0,2773.0
31,1.4011,1.3069,NORMAL,0,Continue operation and monitoring,dev_run_0,2772.0
32,1.0593,1.2574,NORMAL,0,Continue operation and monitoring,dev_run_0,2771.0
33,1.0703,1.22,NORMAL,0,Continue operation and monitoring,dev_run_0,2770.0
34,0.8295,1.1419,NORMAL,0,Continue operation and monitoring,dev_run_0,2769.0
35,1.0744,1.1284,NORMAL,0,Continue operation and monitoring,dev_run_0,2768.0
36,0.8324,1.0692,NORMAL,0,Continue operation and monitoring,dev_run_0,2767.0
37,1.1078,1.0769,NORMAL,0,Continue operation and monitoring,dev_run_0,2766.0
38,1.2134,1.1042,NORMAL,0,Continue operation and monitoring,dev_run_0,2765.0
39,0.9935,1.0821,NORMAL,0,Continue operation and monitoring,dev_run_0,2764.0
40,1.1724,1.1001,NORMAL,0,Continue operation and monitoring,dev_run_0,2763.0
41,0.8671,1.0535,NORMAL,0,Continue operation and monitoring,dev_run_0,2762.0
42,1.2733,1.0975,NORMAL,0,Continue operation and monitoring,dev_run_0,2761.0
43,0.9756,1.0731,NORMAL,0,Continue operation and monitoring,dev_run_0,2760.0
44,0.783,1.0151,NORMAL,0,Continue operation and monitoring,dev_run_0,2759.0
45,1.0728,1.0266,NORMAL,0,Continue operation and monitoring,dev_run_0,2758.0
46,1.0076,1.0228,NORMAL,0,Continue operation and monitoring,dev_run_0,2757.0
47,0.7333,0.9649,NORMAL,0,Continue operation and monitoring,dev_run_0,2756.0
48,0.702,0.9123,NORMAL,0,Continue operation and monitoring,dev_run_0,2755.0
49,0.5779,0.8455,NORMAL,0,Continue operation and monitoring,dev_run_0,2754.0
50,1.3415,0.9447,NORMAL,0,Continue operation and monitoring,dev_run_0,2753.0
51,0.6935,0.8944,NORMAL,0,Continue operation and monitoring,dev_run_0,2752.0
52,0.6166,0.8389,NORMAL,0,Continue operation and monitoring,dev_run_0,2751.0
53,0.5707,0.7852,NORMAL,0,Continue operation and monitoring,dev_run_0,2750.0
54,0.5673,0.7416,NORMAL,0,Continue operation and monitoring,dev_run_0,2749.0
55,0.7843,0.7502,NORMAL,0,Continue operation and monitoring,dev_run_0,2748.0
