threshold,run,false_alarm_events,deg_start_window,first_true_alarm_window,lead_time_hours
2.0,val_run_0,1,1363,1552,2.29
2.0,test_run_0,4,1085,1085,0.95
2.0,test_run_1,0,2411,2411,0.14
2.0,test_run_2,40,1631,1631,2.27
2.0,test_run_3,32,1813,1813,1.24
2.5,val_run_0,0,1363,1552,2.29
2.5,test_run_0,1,1085,1085,0.95
2.5,test_run_1,0,2411,2411,0.14
2.5,test_run_2,43,1631,1631,2.27
2.5,test_run_3,17,1813,1813,1.24
3.0,val_run_0,0,1363,1641,2.04
3.0,test_run_0,1,1085,1085,0.95
3.0,test_run_1,0,2411,2411,0.14
3.0,test_run_2,1,1631,1631,2.27
3.0,test_run_3,19,1813,1813,1.24
3.5,val_run_0,0,1363,1641,2.04
3.5,test_run_0,1,1085,1085,0.95
3.5,test_run_1,0,2411,2411,0.14
3.5,test_run_2,0,1631,1631,2.27
3.5,test_run_3,26,1813,1813,1.24
4.0,val_run_0,0,1363,1641,2.04
4.0,test_run_0,1,1085,1085,0.95
4.0,test_run_1,0,2411,2411,0.14
4.0,test_run_2,0,1631,1631,2.27
4.0,test_run_3,52,1813,1813,1.24
5.0,val_run_0,0,1363,1641,2.04
5.0,test_run_0,1,1085,1085,0.95
5.0,test_run_1,0,2411,2411,0.14
5.0,test_run_2,0,1631,1631,2.27
5.0,test_run_3,41,1813,1813,1.24
7.0,val_run_0,0,1363,1641,2.04
7.0,test_run_0,1,1085,1085,0.95
7.0,test_run_1,0,2411,2411,0.14
7.0,test_run_2,0,1631,1631,2.27
7.0,test_run_3,0,1813,1907,0.98
10.0,val_run_0,0,1363,1691,1.9
10.0,test_run_0,1,1085,1085,0.95
10.0,test_run_1,0,2411,2449,0.04
10.0,test_run_2,0,1631,1633,2.26
10.0,test_run_3,0,1813,2211,0.13
