threshold,run,false_alarm_events,first_true_alarm_window,lead_time_hours
2.0,val_run_0,10,1417,2.66
2.0,test_run_0,1,1085,0.95
2.0,test_run_1,7,2411,0.14
2.0,test_run_2,8,1631,2.27
2.0,test_run_3,8,1813,1.24
2.5,val_run_0,6,1558,2.27
2.5,test_run_0,1,1085,0.95
2.5,test_run_1,4,2411,0.14
2.5,test_run_2,33,1631,2.27
2.5,test_run_3,6,1813,1.24
3.0,val_run_0,5,1620,2.1
3.0,test_run_0,1,1085,0.95
3.0,test_run_1,1,2411,0.14
3.0,test_run_2,1,1631,2.27
3.0,test_run_3,8,1813,1.24
3.5,val_run_0,5,1620,2.1
3.5,test_run_0,1,1085,0.95
3.5,test_run_1,0,2411,0.14
3.5,test_run_2,0,1631,2.27
3.5,test_run_3,2,1813,1.24
4.0,val_run_0,3,1620,2.1
4.0,test_run_0,0,1085,0.95
4.0,test_run_1,0,2412,0.14
4.0,test_run_2,0,1631,2.27
4.0,test_run_3,3,1813,1.24
5.0,val_run_0,0,1629,2.07
5.0,test_run_0,0,1085,0.95
5.0,test_run_1,0,2413,0.14
5.0,test_run_2,0,1631,2.27
5.0,test_run_3,26,1813,1.24
7.0,val_run_0,0,1632,2.06
7.0,test_run_0,0,1085,0.95
7.0,test_run_1,0,2418,0.12
7.0,test_run_2,0,1633,2.26
7.0,test_run_3,0,2209,0.14
10.0,val_run_0,0,1675,1.94
10.0,test_run_0,0,1085,0.95
10.0,test_run_1,0,2449,0.04
10.0,test_run_2,0,1634,2.26
10.0,test_run_3,0,2212,0.13
