pipeline,threshold,false_alarm_events_total,detected_runs,mean_lead_time_hours,min_lead_time_hours,scenario_cost_sar
raw,2.0,77,5/5,1.38,0.14,519000
raw,2.5,61,5/5,1.38,0.14,503000
raw,3.0,21,5/5,1.33,0.14,463000
raw,3.5,27,5/5,1.33,0.14,469000
raw,4.0,53,5/5,1.33,0.14,495000
raw,5.0,42,5/5,1.33,0.14,484000
raw,7.0,1,5/5,1.28,0.14,464000
raw,10.0,1,5/5,1.06,0.04,464000
smoothed,2.0,34,5/5,1.45,0.14,476000
smoothed,2.5,50,5/5,1.38,0.14,492000
smoothed,3.0,16,5/5,1.34,0.14,458000
smoothed,3.5,8,5/5,1.34,0.14,450000
smoothed,4.0,6,5/5,1.34,0.14,448000
smoothed,5.0,26,5/5,1.33,0.14,468000
smoothed,7.0,0,5/5,1.11,0.12,463000
smoothed,10.0,0,5/5,1.07,0.04,463000
