run,bearing,role,model,n_snapshots,mae_snapshots,rmse_snapshots,mae_hours,rmse_hours
dev_run_0,Bearing1_1,development,naive,2803,719.461,840.94,1.999,2.336
dev_run_0,Bearing1_1,development,linear,2803,386.422,529.971,1.073,1.472
dev_run_0,Bearing1_1,development,random_forest,2803,35.906,64.086,0.1,0.178
dev_run_0,Bearing1_1,development,linear_smoothed,2803,337.652,475.66,0.938,1.321
dev_run_0,Bearing1_1,development,random_forest_smoothed,2803,25.022,55.307,0.07,0.154
dev_run_1,Bearing1_2,development,naive,871,736.989,778.7,2.047,2.163
dev_run_1,Bearing1_2,development,linear,871,547.136,630.465,1.52,1.751
dev_run_1,Bearing1_2,development,random_forest,871,51.849,88.517,0.144,0.246
dev_run_1,Bearing1_2,development,linear_smoothed,871,420.132,456.325,1.167,1.268
dev_run_1,Bearing1_2,development,random_forest_smoothed,871,35.595,47.703,0.099,0.133
val_run_0,Bearing1_3,evaluation,naive,2375,593.845,685.768,1.65,1.905
val_run_0,Bearing1_3,evaluation,linear,2375,452.693,872.113,1.257,2.423
val_run_0,Bearing1_3,evaluation,random_forest,2375,385.451,478.74,1.071,1.33
val_run_0,Bearing1_3,evaluation,linear_smoothed,2375,393.629,698.499,1.093,1.94
val_run_0,Bearing1_3,evaluation,random_forest_smoothed,2375,290.304,345.871,0.806,0.961
test_run_0,Bearing1_4,evaluation,naive,1428,504.207,616.558,1.401,1.713
test_run_0,Bearing1_4,evaluation,linear,1428,1725.257,2853.08,4.792,7.925
test_run_0,Bearing1_4,evaluation,random_forest,1428,716.147,906.361,1.989,2.518
test_run_0,Bearing1_4,evaluation,linear_smoothed,1428,1705.159,2777.733,4.737,7.716
test_run_0,Bearing1_4,evaluation,random_forest_smoothed,1428,693.488,814.255,1.926,2.262
test_run_1,Bearing1_5,evaluation,naive,2463,617.164,713.451,1.714,1.982
test_run_1,Bearing1_5,evaluation,linear,2463,825.282,980.346,2.292,2.723
test_run_1,Bearing1_5,evaluation,random_forest,2463,883.012,1052.186,2.453,2.923
test_run_1,Bearing1_5,evaluation,linear_smoothed,2463,811.652,958.139,2.255,2.661
test_run_1,Bearing1_5,evaluation,random_forest_smoothed,2463,793.914,914.482,2.205,2.54
test_run_2,Bearing1_6,evaluation,naive,2448,613.084,708.552,1.703,1.968
test_run_2,Bearing1_6,evaluation,linear,2448,692.687,810.226,1.924,2.251
test_run_2,Bearing1_6,evaluation,random_forest,2448,728.556,891.259,2.024,2.476
test_run_2,Bearing1_6,evaluation,linear_smoothed,2448,650.233,739.976,1.806,2.055
test_run_2,Bearing1_6,evaluation,random_forest_smoothed,2448,659.686,796.326,1.832,2.212
test_run_3,Bearing1_7,evaluation,naive,2259,565.568,653.533,1.571,1.815
test_run_3,Bearing1_7,evaluation,linear,2259,579.939,688.331,1.611,1.912
test_run_3,Bearing1_7,evaluation,random_forest,2259,962.307,1113.215,2.673,3.092
test_run_3,Bearing1_7,evaluation,linear_smoothed,2259,562.993,657.523,1.564,1.826
test_run_3,Bearing1_7,evaluation,random_forest_smoothed,2259,745.109,889.158,2.07,2.47
