run,bearing,role,feature,mean,median,std,mad_scaled,ratio_std_over_mad
dev_run_0,Bearing1_1,development,rms_ch0,0.536129,0.48386,0.098856,0.035269,2.802879
dev_run_0,Bearing1_1,development,peak_ch0,1.992689,1.829847,0.406679,0.29524,1.377451
dev_run_0,Bearing1_1,development,crest_factor_ch0,3.721347,3.656428,0.387506,0.280921,1.379414
dev_run_0,Bearing1_1,development,kurtosis_ch0,0.054943,0.028635,0.184184,0.138615,1.328748
dev_run_0,Bearing1_1,development,dominant_freq_ch0,3102.05,2920.0,473.752359,237.216,1.997135
dev_run_0,Bearing1_1,development,rms_ch1,0.726769,0.723804,0.032287,0.035516,0.909077
dev_run_0,Bearing1_1,development,peak_ch1,2.704671,2.659353,0.295777,0.277035,1.067653
dev_run_0,Bearing1_1,development,crest_factor_ch1,3.720496,3.67756,0.359786,0.347837,1.034352
dev_run_0,Bearing1_1,development,kurtosis_ch1,0.030068,0.02293,0.111996,0.113658,0.985371
dev_run_0,Bearing1_1,development,dominant_freq_ch1,7328.95,7830.0,3045.408576,3439.632,0.885388
dev_run_1,Bearing1_2,development,rms_ch0,0.453196,0.431323,0.05977,0.027188,2.198426
dev_run_1,Bearing1_2,development,peak_ch0,2.906999,1.876539,2.122781,0.551368,3.850028
dev_run_1,Bearing1_2,development,crest_factor_ch0,6.217423,4.252539,3.888799,0.968841,4.013867
dev_run_1,Bearing1_2,development,kurtosis_ch0,5.710381,0.296747,14.095585,0.445979,31.605907
dev_run_1,Bearing1_2,development,dominant_freq_ch0,3155.0,3480.0,945.585004,296.52,3.188942
dev_run_1,Bearing1_2,development,rms_ch1,0.978189,0.86341,0.296403,0.066306,4.470202
dev_run_1,Bearing1_2,development,peak_ch1,9.152636,3.71342,10.263065,1.189537,8.627781
dev_run_1,Bearing1_2,development,crest_factor_ch1,7.855861,4.389157,5.924359,1.210934,4.892389
dev_run_1,Bearing1_2,development,kurtosis_ch1,27.674549,0.2539,54.99063,0.399001,137.820718
dev_run_1,Bearing1_2,development,dominant_freq_ch1,4606.5,4120.0,1517.594066,637.518,2.380472
val_run_0,Bearing1_3,evaluation,rms_ch0,0.473664,0.472178,0.031477,0.029235,1.076683
val_run_0,Bearing1_3,evaluation,peak_ch0,2.029591,1.919657,0.462682,0.321063,1.441093
val_run_0,Bearing1_3,evaluation,crest_factor_ch0,4.272607,4.020604,0.869075,0.529236,1.642131
val_run_0,Bearing1_3,evaluation,kurtosis_ch0,0.375425,0.267398,0.45788,0.231317,1.97945
val_run_0,Bearing1_3,evaluation,dominant_freq_ch0,1965.25,2410.0,1002.993488,1527.078,0.656806
val_run_0,Bearing1_3,evaluation,rms_ch1,0.600309,0.605311,0.038626,0.027219,1.41909
val_run_0,Bearing1_3,evaluation,peak_ch1,2.654932,2.332105,0.816546,0.349298,2.33768
val_run_0,Bearing1_3,evaluation,crest_factor_ch1,4.391141,3.895415,1.167151,0.520745,2.241309
val_run_0,Bearing1_3,evaluation,kurtosis_ch1,0.532252,0.126895,1.046116,0.17981,5.81788
val_run_0,Bearing1_3,evaluation,dominant_freq_ch1,6903.95,7760.0,2451.739973,281.694,8.703558
test_run_0,Bearing1_4,evaluation,rms_ch0,0.529806,0.525757,0.026,0.026796,0.970277
test_run_0,Bearing1_4,evaluation,peak_ch0,1.963451,1.914721,0.234296,0.189593,1.235787
test_run_0,Bearing1_4,evaluation,crest_factor_ch0,3.703875,3.668507,0.368419,0.280127,1.315182
test_run_0,Bearing1_4,evaluation,kurtosis_ch0,0.022304,0.006065,0.165298,0.110491,1.496036
test_run_0,Bearing1_4,evaluation,dominant_freq_ch0,1986.65,1140.0,1180.998847,51.891,22.759223
test_run_0,Bearing1_4,evaluation,rms_ch1,1.024912,1.037812,0.071643,0.052518,1.364163
test_run_0,Bearing1_4,evaluation,peak_ch1,3.857018,3.851867,0.436207,0.418679,1.041865
test_run_0,Bearing1_4,evaluation,crest_factor_ch1,3.763115,3.696065,0.329447,0.294848,1.117345
test_run_0,Bearing1_4,evaluation,kurtosis_ch1,0.065826,0.062797,0.122831,0.124051,0.990168
test_run_0,Bearing1_4,evaluation,dominant_freq_ch1,7966.5,8045.0,909.617365,200.151,4.544656
test_run_1,Bearing1_5,evaluation,rms_ch0,0.4494,0.448492,0.021531,0.019172,1.12304
test_run_1,Bearing1_5,evaluation,peak_ch0,1.769889,1.729881,0.260769,0.184882,1.41046
test_run_1,Bearing1_5,evaluation,crest_factor_ch0,3.934354,3.826557,0.513608,0.331995,1.547035
test_run_1,Bearing1_5,evaluation,kurtosis_ch0,0.143705,0.101834,0.226599,0.142566,1.589427
test_run_1,Bearing1_5,evaluation,dominant_freq_ch0,2925.65,3305.0,1884.489209,2750.223,0.685213
test_run_1,Bearing1_5,evaluation,rms_ch1,0.813903,0.83587,0.070177,0.039299,1.785721
test_run_1,Bearing1_5,evaluation,peak_ch1,3.177799,2.975305,1.190459,0.380889,3.125474
test_run_1,Bearing1_5,evaluation,crest_factor_ch1,3.872482,3.699489,1.076301,0.350548,3.070338
test_run_1,Bearing1_5,evaluation,kurtosis_ch1,0.317706,0.01357,2.53213,0.114289,22.155574
test_run_1,Bearing1_5,evaluation,dominant_freq_ch1,5024.4,4920.0,1951.95585,1527.078,1.278229
test_run_2,Bearing1_6,evaluation,rms_ch0,0.54976,0.549173,0.02623,0.02443,1.073674
test_run_2,Bearing1_6,evaluation,peak_ch0,2.554784,2.476389,0.541032,0.449842,1.202714
test_run_2,Bearing1_6,evaluation,crest_factor_ch0,4.631503,4.453883,0.866748,0.709792,1.22113
test_run_2,Bearing1_6,evaluation,kurtosis_ch0,0.691658,0.459161,0.730226,0.407144,1.793534
test_run_2,Bearing1_6,evaluation,dominant_freq_ch0,1824.25,1490.0,1387.471959,311.346,4.456367
test_run_2,Bearing1_6,evaluation,rms_ch1,0.827089,0.830957,0.034165,0.030076,1.135959
test_run_2,Bearing1_6,evaluation,peak_ch1,3.175402,3.103117,0.364828,0.32608,1.11883
test_run_2,Bearing1_6,evaluation,crest_factor_ch1,3.83896,3.75135,0.406344,0.356389,1.140171
test_run_2,Bearing1_6,evaluation,kurtosis_ch1,0.05903,0.048234,0.11805,0.118558,0.995714
test_run_2,Bearing1_6,evaluation,dominant_freq_ch1,4279.5,3960.0,721.255676,348.411,2.070129
test_run_3,Bearing1_7,evaluation,rms_ch0,0.530199,0.525485,0.051586,0.041585,1.240492
test_run_3,Bearing1_7,evaluation,peak_ch0,2.113924,2.061889,0.358757,0.290446,1.235194
test_run_3,Bearing1_7,evaluation,crest_factor_ch0,3.979132,3.861354,0.478721,0.359749,1.330711
test_run_3,Bearing1_7,evaluation,kurtosis_ch0,0.189528,0.155303,0.218825,0.155776,1.404741
test_run_3,Bearing1_7,evaluation,dominant_freq_ch0,2099.5,3035.0,1512.535867,2179.422,0.694008
test_run_3,Bearing1_7,evaluation,rms_ch1,0.795054,0.799851,0.032312,0.022349,1.445817
test_run_3,Bearing1_7,evaluation,peak_ch1,2.964012,2.936907,0.268458,0.233753,1.148468
test_run_3,Bearing1_7,evaluation,crest_factor_ch1,3.728367,3.667412,0.3046,0.299939,1.015542
