threshold,k,runs_reaching_criterion,median_lead_hours,lead_range_hours,reference_period_sequences
3.0,1,5/5,1.24,0.14-2.27,28
3.0,3,5/5,1.24,0.14-2.27,16
3.0,5,5/5,1.24,0.14-2.27,10
3.5,1,5/5,1.24,0.14-2.27,19
3.5,3,5/5,1.24,0.14-2.27,8
3.5,5,5/5,1.24,0.14-2.27,2
4.0,1,5/5,1.24,0.14-2.27,15
4.0,3,5/5,1.24,0.14-2.27,6
4.0,5,5/5,1.24,0.14-2.27,1
5.0,1,5/5,1.24,0.14-2.27,50
5.0,3,5/5,1.24,0.14-2.27,26
5.0,5,5/5,1.24,0.14-2.27,22
7.0,1,5/5,0.95,0.12-2.26,1
7.0,3,5/5,0.95,0.12-2.26,0
7.0,5,5/5,0.95,0.12-2.26,0
